CellId,Nuclear Volume [fL],Cellular Volume [fL],Nuclear Surface Area [um^2],Cellular Surface Area [um^2],Radial Proximity [unitless],Apical Proximity [unitless]
137651,836.469533,2724.397634,425.2096,1394.9667,0.704213931263458,-0.236544249173136
137652,703.695817,2338.319764,371.2174,1275.3765,0.693787019238351,0.0653259762000347
137653,612.968737,1732.326281,313.1884,849.2418,0.605006595916086,-0.148521998243615
137654,629.041088,2027.45757,334.1293,988.6796,0.648805781813445,-0.16289507561352
137655,891.271616,2730.982664,412.7628,1256.9586,0.614289790446665,-0.164225351204651
137656,797.056909,2201.009694,377.9454,1000.4536,0.514852346073541,-0.152753673393276
137657,894.076351,2410.462426,419.4908,1319.529,0.537350086669862,-0.159349092859719
137659,936.635156,2652.889086,419.2385,1142.6667,0.683544609442231,-0.23595598409141
137660,715.158647,2404.535899,358.5183,1188.8376,0.777488594714657,-0.0308365405204799
137662,680.233599,1918.43874,342.7916,818.7135,0.656607460403717,-0.16421999550282
137666,656.576269,2143.500432,326.8126,983.3813,0.721142181217588,-0.23980274681753
137668,821.884911,2613.549629,391.7378,1275.8811,0.78290273924448,-0.149385453829235
137673,594.237985,1932.364859,310.8336,1014.1619,0.838808514271296,0.0334302514695786
137674,808.129515,2660.083841,393.8403,1306.073,0.737526934606618,-0.358037074076109
137676,503.169459,1807.298067,261.3828,867.1551,0.83140363212753,-0.114035868717417
137677,978.511069,2971.433815,453.3831,1270.0782,0.57843364865386,-0.0914772840502398
137678,695.891337,2576.990518,362.3028,1295.2241,0.776420120954235,-0.239519618749371
137679,847.347027,2704.593766,398.2976,1174.7929,0.651295847038369,-0.281679969121251
137680,879.686841,2729.933937,415.5381,1243.7549,0.724557318222197,0.0232107199342868
137681,493.657749,1715.253981,265.6719,795.3337,0.755218502396717,-0.0656409517645579
137683,482.511976,1569.895541,278.7074,918.2879,0.641476205238361,-0.254779235791536
137685,455.220685,1427.48817,255.4958,714.3454,0.733502715828008,-0.18439391288081
137686,644.332991,2091.186027,334.6339,1084.1331,0.645280574823728,-0.300482075283234
137687,577.068129,1787.274698,306.2081,931.4916,0.744444168063466,-0.126973524502928
137688,450.659942,1100.553625,265.8401,637.8985,0.667456308900497,-0.238898946224156
137689,492.682189,1452.023504,272.9886,788.4375,0.812133282975016,-0.249402646443733
137691,623.260895,1958.241588,324.3737,1029.5522,0.686501909556753,-0.134195202923518
137694,755.498053,2131.525433,385.8508,1065.547,0.621785881807146,-0.303974769397513
137696,690.379423,1895.439913,341.2778,967.4864,0.536078675522041,0.00969725008516376
